2019-04-11 10:30:11, com.zaxxer.hikari.HikariDataSource, INFO, Gatekeeper - Starting...
2019-04-11 10:30:11, com.zaxxer.hikari.pool.PoolBase, INFO, Gatekeeper - Driver does not support get/set network timeout for connections. (com.mysql.jdbc.JDBC4Connection.getNetworkTimeout()I)
2019-04-11 10:30:12, com.zaxxer.hikari.HikariDataSource, INFO, Gatekeeper - Start completed.
2019-04-11 10:30:12, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:10446
2019-04-11 10:30:12, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:10448
2019-04-11 10:30:12, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:10442/serviceregistry
2019-04-11 10:30:13, eu.arrowhead.core.gatekeeper.GatekeeperMain, INFO, Started inbound server at: http://0.0.0.0:10446
2019-04-11 10:30:13, eu.arrowhead.core.gatekeeper.GatekeeperMain, INFO, Started outbound server at: http://0.0.0.0:10448
2019-04-11 10:30:13, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:10442/serviceregistry/register
2019-04-11 10:30:13, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:10442/serviceregistry/register
2019-04-11 10:30:28, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:10442/serviceregistry/query
2019-04-11 10:30:28, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:10444/authorization
2019-04-11 10:30:28, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:10442/serviceregistry/query
2019-04-11 10:30:28, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:10452/gateway/connectToConsumer
2019-04-11 10:30:28, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:10442/serviceregistry/query
2019-04-11 10:30:28, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:10452/gateway/connectToProvider
2019-04-11 10:30:28, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:10442/serviceregistry/query
2019-04-11 10:30:28, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:10440/orchestrator/orchestration
2019-04-11 10:32:06, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8446/gatekeeper
2019-04-11 10:32:06, eu.arrowhead.core.gatekeeper.GatekeeperOutboundResource, INFO, Sending GSD poll request to 1 clouds.
2019-04-11 10:32:06, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8446/gatekeeper/gsd_poll
2019-04-11 10:32:06, eu.arrowhead.core.gatekeeper.GatekeeperOutboundResource, INFO, GSDRequest: Sending 1 GSDPoll results to Orchestrator.
2019-04-11 10:32:06, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8446/gatekeeper
2019-04-11 10:32:06, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8446/gatekeeper/icn_proposal
2019-04-11 10:32:07, eu.arrowhead.core.gatekeeper.GatekeeperOutboundResource, INFO, ICNRequest: returning ICNResult to Orchestrator.
2019-04-11 11:16:33, eu.arrowhead.core.gatekeeper.GatekeeperMain, INFO, Stopping server at: http://0.0.0.0:10446
2019-04-11 11:16:33, eu.arrowhead.core.gatekeeper.GatekeeperMain, INFO, Stopping server at: http://0.0.0.0:10448
2019-04-11 11:16:33, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:10442/serviceregistry/remove
2019-04-11 11:16:33, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:10442/serviceregistry/remove
2019-04-11 11:16:33, com.zaxxer.hikari.HikariDataSource, WARN, The shutdown() method has been deprecated, please use the close() method instead
2019-04-11 11:16:33, com.zaxxer.hikari.HikariDataSource, INFO, Gatekeeper - Shutdown initiated...
2019-04-11 11:16:33, com.zaxxer.hikari.HikariDataSource, INFO, Gatekeeper - Shutdown completed.
