2019-04-05 18:20:46, com.zaxxer.hikari.HikariDataSource, INFO, Authorization - Starting...
2019-04-05 18:20:46, com.zaxxer.hikari.pool.PoolBase, INFO, Authorization - Driver does not support get/set network timeout for connections. (com.mysql.jdbc.JDBC4Connection.getNetworkTimeout()I)
2019-04-05 18:20:46, com.zaxxer.hikari.HikariDataSource, INFO, Authorization - Start completed.
2019-04-05 18:20:48, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8444
2019-04-05 18:20:48, eu.arrowhead.common.ArrowheadMain, INFO, Started server at: http://0.0.0.0:8444
2019-04-05 18:20:48, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8442/serviceregistry
2019-04-05 18:20:48, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-04-05 18:20:49, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-04-05 18:24:32, eu.arrowhead.core.authorization.AuthorizationResource, INFO, IntraCloud auth check for consumer Oper_Station_Truck returns with 1 possible provider
2019-04-05 18:25:08, eu.arrowhead.core.authorization.AuthorizationResource, INFO, IntraCloud auth check for consumer Oper_Station_Truck returns with 1 possible provider
2019-04-05 18:28:39, eu.arrowhead.core.authorization.AuthorizationResource, INFO, IntraCloud auth check for consumer Oper_Station_Truck returns with 1 possible provider
2019-04-05 18:31:00, eu.arrowhead.core.authorization.AuthorizationResource, INFO, IntraCloud auth check for consumer Oper_Station_Truck returns with 1 possible provider
2019-04-05 18:31:43, eu.arrowhead.core.authorization.AuthorizationResource, INFO, IntraCloud auth check for consumer Oper_Station_Truck returns with 1 possible provider
