2019-04-05 18:21:06, com.zaxxer.hikari.HikariDataSource, INFO, Gatekeeper - Starting...
2019-04-05 18:21:07, com.zaxxer.hikari.pool.PoolBase, INFO, Gatekeeper - Driver does not support get/set network timeout for connections. (com.mysql.jdbc.JDBC4Connection.getNetworkTimeout()I)
2019-04-05 18:21:07, com.zaxxer.hikari.HikariDataSource, INFO, Gatekeeper - Start completed.
2019-04-05 18:21:08, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8446
2019-04-05 18:21:08, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8448
2019-04-05 18:21:08, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8442/serviceregistry
2019-04-05 18:21:08, eu.arrowhead.core.gatekeeper.GatekeeperMain, INFO, Started inbound server at: http://0.0.0.0:8446
2019-04-05 18:21:08, eu.arrowhead.core.gatekeeper.GatekeeperMain, INFO, Started outbound server at: http://0.0.0.0:8448
2019-04-05 18:21:08, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-04-05 18:21:09, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-04-05 18:21:24, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/query
2019-04-05 18:21:24, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8444/authorization
2019-04-05 18:21:24, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/query
2019-04-05 18:21:24, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8452/gateway/connectToConsumer
2019-04-05 18:21:24, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/query
2019-04-05 18:21:24, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8452/gateway/connectToProvider
2019-04-05 18:21:24, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/query
2019-04-05 18:21:24, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8440/orchestrator/orchestration
